Service_ID,Service_Type,Cloud_Provider,Edge_Node_ID,CPU_Utilization (%),Memory_Usage (MB),Storage_Usage (GB),Network_Bandwidth (Mbps),Service_Latency (ms),Response_Time (ms),Throughput (Requests/sec),Load_Balancing (%),QoS_Score,Workload_Variability,Optimal_Service_Placement,TOPSIS_Score,Rank,TOPSIS_Rank
S0281,Storage,Google Cloud,E1,37.909715853615445,4419,453,903.6784553409026,8.112581122806006,64.88573940342079,984.9129396349254,84.54756831339779,0.8966490383493675,1,1,0.8828742134894157,689.0,1
S0875,Compute,IBM,E3,68.36244530167353,3199,286,877.4305534868605,41.7614436407918,15.396545584447654,961.6144947763536,90.32014096232872,0.9210121090324754,2,1,0.8657033770923243,473.0,2
S0290,Database,Azure,E1,57.33593810257177,3312,345,895.3224670738498,61.6268545037391,23.46057563136258,896.640757531719,65.27163830439355,0.7540818952290873,2,0,0.8375559283585418,498.0,3
S0107,Network,AWS,E4,77.07430700210705,6400,389,947.288474821966,12.925957943255913,28.185526781528115,877.1378948036047,94.8949052387126,0.9770469574511504,2,1,0.8316485616911343,866.0,4
S0439,Database,Google Cloud,E3,70.08535124198049,963,287,879.9815572949854,60.69423819316612,153.9592906206205,901.0032292499708,91.50962815347856,0.8149602520306298,2,1,0.8156288535723021,275.0,5
S0319,Storage,IBM,E4,69.07194142437214,3036,770,892.4050242966957,94.03376405049464,14.905101173976847,963.7938267894224,99.11952772587831,0.773024965941383,3,1,0.8120171545238217,574.0,6
S0629,Database,IBM,E2,41.693357897949085,2063,710,829.2237542193167,20.50944735424593,141.5674094538893,883.8273126620925,56.83677013646176,0.5411745719821428,3,0,0.806790209757918,431.0,7
S0691,AI Model,IBM,E1,56.255557697986,5770,391,864.8450959636849,69.85927712884818,127.93397896568383,944.725675047648,92.28542908583636,0.7254536690944771,1,0,0.8061106597628217,838.0,8
S0720,Storage,IBM,E1,89.4786955047565,3273,599,932.3809939443572,80.25256268555192,39.40401436861578,935.9092815121128,66.44009022892268,0.578851810629746,2,0,0.8034299964808713,591.0,9
S0426,Storage,Azure,E3,60.55238574836827,1399,691,701.2164463697347,20.482104479419636,40.59769473722282,886.9538805739725,86.14653361193018,0.9079102616314834,3,1,0.8022828571265207,254.0,10
S0216,Network,AWS,E3,24.69899025915159,6565,325,944.4890006416932,100.75970471049764,93.56364396013068,974.3135532044396,53.45870952527086,0.5534426477445302,3,0,0.7944116000478445,877.0,11
S0908,Network,IBM,E4,21.27107486671857,1608,296,887.6375013754836,75.6030245314708,276.574682994342,983.4499768425944,79.51904826019305,0.6777027033811678,3,0,0.7775151734985468,393.0,12
S0266,Compute,AWS,E1,58.43769865777488,7593,113,994.4711148832848,38.42338329748897,197.86005317967928,795.0658242068406,99.2475158180822,0.9401239972377818,2,1,0.7693207302668108,920.0,13
S0749,Compute,Azure,E3,26.64535354772593,5942,946,767.5418954168481,46.209249917866906,136.61239745648135,855.2583130337924,81.53180952648252,0.9139143035330964,2,1,0.761931437019406,910.0,14
S0921,Network,Azure,E1,68.48440562284479,4328,810,951.8828933593152,33.189935667708895,163.22951461931444,762.1194690647242,63.92839766028297,0.5174401529100139,1,0,0.7604686461720478,794.0,15
S0588,Compute,IBM,E1,52.32389153849722,4188,960,742.286068785477,25.333724049721344,80.56157972071284,783.4850476872208,79.38450637799095,0.5071384908429162,3,0,0.7591019391300903,688.0,16
S0264,Compute,Azure,E1,60.90739020551791,4598,900,729.5704427377551,33.2140053269962,109.01965868239516,784.2365485903422,99.46703189198118,0.6988644878113612,2,0,0.7482154956250872,745.0,17
S0988,Database,Azure,E1,79.48571554975545,1409,605,854.3971200160355,86.75758380264115,172.18605432566747,850.3341368124929,56.30847950743684,0.8949873797849166,3,0,0.7478663068565315,382.0,18
S0380,AI Model,AWS,E2,82.7780843932205,1170,777,975.4281762157532,43.66229608726566,183.53555641215252,711.0874956500608,95.46161882307509,0.812573045866677,1,1,0.7473983016436598,438.0,19
S0182,Network,IBM,E4,52.22426095542013,6844,647,764.0591174515259,41.61167347556433,198.702000265061,869.8158441517016,76.67392379531464,0.8170459725399195,3,1,0.744641255178835,949.0,20
S0681,AI Model,AWS,E4,29.79892578675972,1191,530,833.225378474289,159.63789996367566,40.05849849709533,835.4053071470636,97.79350216342598,0.8012629450626267,1,0,0.7403817706356025,286.0,21
S0857,Network,IBM,E4,47.735994199038245,1457,601,931.5158342402128,61.11723959194058,73.92119087237285,602.7720031794724,87.13607485932087,0.5734008158769982,2,0,0.7380740875420994,381.0,22
S0990,Storage,Google Cloud,E1,38.1482847737784,1791,448,708.8966742142071,106.85304285683064,161.83416821015751,873.1060327538183,75.60090633377345,0.5423643416451589,2,0,0.736811143466413,263.0,23
S0937,Compute,IBM,E4,24.338333708537046,7313,578,993.8461356243904,29.768956216784375,347.29523620769226,937.2537716535824,67.81932392615141,0.7440485079364136,1,0,0.7366747591250281,986.0,24
S0405,Database,Azure,E3,93.26002463829946,3762,699,985.9472676417038,51.74217097102226,264.6456652636847,826.1504593227492,73.801035344006,0.7173286590255421,1,0,0.7348283481382146,758.0,25
S0600,AI Model,AWS,E4,45.94080955533931,2771,523,891.2366729124449,46.09924730152368,363.3999890744691,984.5452612971558,59.89122144206615,0.9125964674028452,2,0,0.7334916667839736,583.0,26
